"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TMCO4",0.251042364843629,6.19782592905158,4.51111422251881,0.000127640817240909,0.00502740122100482,1.14368136962415
"OASL2",0.406491252377475,6.17606642318629,4.51479609726813,0.00012641880886947,0.00500232203429333,1.13512204490575
"KLHL6",0.350539516169033,6.06149591702438,4.53505714004274,0.000119899987212473,0.00481119807842725,1.13129372869666
"IFITM3",0.569199713889769,6.49780364834513,4.46800710789079,0.000142854640028929,0.00535516933476866,1.04567038552022
"CHST14",0.36237683354034,5.67682054335669,4.63713019066947,9.18217527875002e-05,0.00405780450427781,0.955876340788195
"IL10RB",0.260867526442781,6.37216255629366,4.42407105570721,0.000160220654923279,0.00587727870227153,0.946261034714381
"NLRP3",0.366343503154867,6.11167266875365,4.42786194827987,0.000158642855560275,0.00586978565573017,0.91376087955781
"SKAP2",0.253703601867306,6.62447702117819,4.43154603544099,0.000157124332949338,0.00583887684225214,0.863116820221657
"UBE2L6",0.464904344743371,6.02229714585301,4.39496210984398,0.000172868025098441,0.00620799584250577,0.780245530474863
"RAB7B",0.256392232703264,6.3851433904394,4.27233933516981,0.000237990394091278,0.00795900089582611,0.578819366137617
"SNX20",0.476279052771791,5.70489411450152,4.42492073373882,0.000159865659366497,0.00587727870227153,0.544605055044487
"IFIH1",0.261060408655036,6.18012539051857,4.23855836848189,0.000259870470237241,0.00835004853051766,0.507896086515723
"CD37",0.372563830573168,6.48025048775348,4.20261114994608,0.000285347800105618,0.00883647698370549,0.388846922618513
"WAS",0.548936672654232,5.88444785316207,4.26594716926122,0.000241985450624669,0.0080476639941208,0.385101952545513
"MCM2",0.294139217527176,6.45048907303906,4.17672432201871,0.000305213981578188,0.00921789364151511,0.329969683113867
"CLIC1",0.352374713996344,6.87417148752734,4.27612538579658,0.000235655087539955,0.00795900089582611,0.313698683649332
"LYZ2",0.308939832226541,7.07865019562176,4.32099326039339,0.000209653419131756,0.00719641676031773,0.258604720565031
"PTPRC",0.511175494188471,6.41536962718411,4.12749464915333,0.000346849391922331,0.0102578607361943,0.241769350068031
"EYA2",0.810070467438952,5.63969749572276,4.34672021946075,0.000196051689184301,0.00681160076202528,0.209244169734616
"A3GALT2",0.428804043593308,6.38001872837757,4.09269013516714,0.000379630350576462,0.0107939827161374,0.160142016185001
"MX2",0.487883425653861,6.60554338159706,4.1224808495479,0.000351393001866494,0.0103208109517282,0.151714327590873
"S100A3",0.577561890127306,5.99852062603241,4.11630343063135,0.000357072173791495,0.0103474367602232,0.141394422886721
"BAZ1A",0.257546949874636,6.21856248506807,4.05964038563604,0.000413587716685327,0.0115520725964362,0.0970863719839858
"ZC3H12A",0.407552003196132,5.89682825960178,4.10739110723856,0.000365426048819149,0.0105136450859323,0.0860463253878905
"CD44",0.53741821713226,6.7451025004281,4.11499383877257,0.000358287757606628,0.0103474367602232,0.0581362124143858
"ADCY4",0.364591990827678,6.37631719710364,4.04515341046359,0.000429403077765593,0.0119024672169832,0.044656279364645
"ALOX12",0.526112864211856,5.7686017999503,4.14573650184661,0.000330803570756774,0.00985149170473221,0.0445606233192297
"IL17RC",0.291793514222619,5.91527406427271,4.06941916617881,0.00040323912815958,0.0113745373873925,0.0311285463318756
"FXYD5",0.255038275261883,6.94232391188616,4.18459073241923,0.000299036360819737,0.00908547592286055,0.00703205129994711
"ANXA2",0.459193160086755,6.57984738674187,3.98990228375867,0.000495395820247913,0.0130683582582065,-0.160100623231235
"FOXJ1",0.335850226378737,6.54601293686995,3.98553407841785,0.000501021236587706,0.0131356702733593,-0.175702883899907
"SH2B2",0.315294900525844,6.24719377914394,3.92855009449384,0.000580439803410236,0.0147211246283302,-0.207130646214377
"IL10RA",0.301709134570662,5.97113589828299,3.87427731547314,0.000667559088636383,0.0163954814096987,-0.365070239375507
"LGALS1",0.293518443289269,6.76094570496127,3.96967037186444,0.0005219857466275,0.0135194308376523,-0.375601197146842
"FCGR3A",0.563964428811027,6.17285653898843,3.84557405486922,0.000718712270803604,0.0170161600514083,-0.397164716781861
"HSPB1",0.547644103939657,6.89619269484928,3.9706745564235,0.000520633400763214,0.0135194308376523,-0.409194255202585
"TIFAB",0.345406272062983,6.24951910864847,3.82056826579881,0.000766403691204647,0.0177039252668273,-0.455640172911617
"NT5DC2",0.273178041749221,6.47153763671629,3.85371282703694,0.000703828629370905,0.0168978182450369,-0.459400761496635
"FGL2",0.529160453088948,6.21879390741978,3.7442367067108,0.000932039293740635,0.0206912723210421,-0.622491035171477
"IGTP",0.318914071190713,6.34937697577452,3.75053328502754,0.000917141311018741,0.0204135593366593,-0.643828188989996
"MAFB",0.420796645774626,6.19405011104709,3.72012498624194,0.000991314356000276,0.0216141933692203,-0.676913173274827
"CTSC",0.464207314090882,6.36423322566505,3.7095917943756,0.00101835372862493,0.0220300092972215,-0.730253147804733
"ABCC3",0.430900675309354,5.98907409436129,3.69072645410098,0.00106859938973809,0.022558463463738,-0.763715762642474
"MSN",0.284123884199854,6.989752441199,3.87933425549492,0.000658925712924585,0.0162769886368972,-0.79202955098017
"STBD1",0.412804005077015,5.76830375603558,3.69896541882384,0.00104636408613853,0.022358184610565,-0.837885338104523
"ATOH8",0.253822780111841,5.83843605921696,3.66225210586774,0.00114906565794995,0.0239322060502155,-0.862793074938302
"FCRL2",0.489123471296541,6.8605783845482,3.75139470240537,0.00091512140629014,0.0204135593366593,-0.944980108502611
"GMFG",0.498596159485945,5.92444234624415,3.57445190592427,0.00143630623278236,0.0281562141550248,-1.03279908800791
"STOM",0.382274526036522,6.19424592501479,3.55851928285505,0.00149546704744501,0.0289835756338151,-1.04035092482242
"NR1H3",0.314292340059028,6.06132886122435,3.54623310090772,0.00154270441858072,0.0295638893847745,-1.06079254385422
"MUC1",0.293582649586568,6.19829892791136,3.54104539253169,0.00156308383670932,0.0297542929896537,-1.0832279490417
"FOS",0.333148822866202,6.46235426354015,3.56911314068649,0.00145587112178561,0.0284094303148439,-1.11892286962603
"FGR",0.648721976711174,6.09973711520213,3.51986121344538,0.00164906130883464,0.0306402761013254,-1.12090800435994
"DHX58",0.359688400031477,6.1174645735186,3.51287252837239,0.00167842309579089,0.0309852891705135,-1.13407088043698
"SLC1A5",0.324104243322627,6.18192433595955,3.51285301694945,0.00167850577816166,0.0309852891705135,-1.14178567167821
"FCGR1A",0.568230429483559,5.85127630425938,3.52291908827287,0.00163637206167306,0.030537275133449,-1.17351484929796
"CHDH",0.342792020064801,6.13018854117424,3.48706724031239,0.00179131421489784,0.0322108769805263,-1.19178621133683
"NTHL1",0.267343969041041,6.08477721984756,3.46628484132024,0.00188757129453687,0.0336105663633471,-1.23494323609515
"LRG1",0.769291309353579,5.81057280469936,3.48751782353301,0.00178928107837079,0.0322108769805263,-1.28275168920558
"ADAMTSL4",0.334669933034128,6.27771053184385,3.43703385800029,0.00203161718349852,0.0355824427609874,-1.33604738353322
"PIK3AP1",0.432020562978584,6.0405874577721,3.4109470552402,0.00216904645107898,0.0371519840027495,-1.35340124230671
"CDKN1A",0.317912933625034,6.5513340349278,3.46025700256853,0.00191641883427254,0.0339826385405133,-1.436076532493
"TNFRSF1B",0.383812559969875,5.90809832508281,3.36405307983192,0.0024391054047736,0.0405584317015563,-1.46547545511513
"GLIPR1",0.352298838386421,5.98245371215263,3.35709912158416,0.00248183053080501,0.0410294111156487,-1.46918873976848
"DAPP1",0.351749164321546,6.17073633335799,3.33241785043568,0.00263940184984541,0.0428935164444184,-1.53607326522473
"TLR2",0.298184327183403,6.17964812191791,3.28658740990526,0.00295804541160102,0.0459680256962798,-1.64064273254043
"LAT2",0.42541419966822,6.07181069026629,3.26015657253476,0.00315838614463112,0.0478629900322024,-1.67365402730434
"TRIM47",0.32149530889844,6.50625038785005,3.3406132585402,0.0025860357510724,0.0422616588229747,-1.67882840037131
"RPS27L",0.306789752628404,6.07202432725895,3.24731711410304,0.00326037232225482,0.0487174864306153,-1.70380721418947
"ALOX5AP",0.394099504355979,6.10561593790523,3.24411497544318,0.00328629821846242,0.0489337820090563,-1.7127402011271
"CD38",0.254534391402377,6.5180744666224,3.33236408808286,0.00263975542877783,0.0428935164444184,-1.71944590648926
"FLI1",0.262675217134935,6.32337761208878,3.25714908186355,0.00318199547752347,0.0480503804706592,-1.76473437800307
"IRF7",0.296667383218782,6.315613563241,3.25006137066717,0.00323831071523813,0.0484725773785294,-1.77313838584132
"NCF2",0.576920086584255,5.70730116906101,3.23601527952478,0.00335276738369897,0.0495780325752165,-1.79412179754169
"POU3F4",0.405258323091562,5.52416339607335,3.26841682861824,0.00309440822155425,0.0473875614830613,-1.80080314464825
"TAGLN",0.276675579078365,7.06317473936855,3.47069452538157,0.00186673564594475,0.0333263757681833,-1.85634571451276
