"","TBI","HC"
"MEblack",-0.392619660267362,0.392619660267362
"MEblue",-0.489264499717789,0.489264499717789
"MEbrown",0.00604030246565172,-0.00604030246565172
"MEpink",0.465103289855182,-0.465103289855182
"MEred",-0.0664433271221689,0.0664433271221689
"MEyellow",0.791279623000375,-0.791279623000375
"MEgreen",-0.404700265198665,0.404700265198665
"MEturquoise",0.0302015123282586,-0.0302015123282586
"MEgrey",0.102685141916079,-0.102685141916079
