,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435
Vom2r50,255.85,257.6,184.35,233.55,239.85,283,258.1,254.9,370.1,181.05,281.05,357.2,372.05,308.95,277.25,224,286.55,342.45,82.2,291.4,396.2,352.85,404.6,310.8
Vom2r51,443,430.5,350.4,444.4,308.9,535.8,490.3,476.8,627.5,347.9,549.7,650.2,731.9,565,524.7,386.9,491.9,603.5,119.3,569.3,625.1,594,673,546.5
Vom2r52,252.6,227.6,182.3,225.5,169.05,276.6,247.75,249.45,319,176.5,305.45,332.4,371.55,285.25,285.4,214.45,254.6,307.15,70.35,290.95,327.1,304.85,341.75,285.3
Vom2r53,110.8,232.7,121.2,92.4,399.8,134.1,57.8,99.2,181.5,116.4,180.4,90.2,137.4,166.8,144.7,167.2,234.6,190.1,236.5,214.3,157.3,166.9,242.8,220.9
Vom2r75,103.4,104.4,126.4,78.6,179.3,56.8,41.9,63.1,103.6,74.4,119.6,72,71.3,57,91.1,185.6,117.5,137.2,125.9,102,102.2,203.3,123,125.6
Vom2r78,14,41.9,39.6,12.6,89.9,7.3,9,8,113.1,13.4,114.6,48.2,14.3,11,14.9,28.1,26,47.2,57.1,55.3,83.3,18.2,76.2,29
Vps13a,4251.75,3441.5,4538.2,4594.25,4281.6,5222.55,4178.2,4068.3,3460.95,1831.7,6075.7,2598.3,4473.6,3776.25,6052.85,4104.45,1237.4,1208.85,955.55,1196.8,1527.3,1781.8,1896.7,2080.7
Vps26a,325.1,338.4,409,383.1,192.7,308.8,222.9,420.3,154.6,368.9,228.9,271.3,370.6,241.5,369,343.9,212.8,220.2,222.3,168,120.6,212.7,51.6,152.5
Vps29,4091,4044.4,4965.1,4228.8,3072,3772.7,4074.3,3950.8,4274.9,4470.1,5299.1,4393.2,4292.3,4115.8,3127.3,4691,4708.1,4235.2,3962.5,4159.8,3938.3,3641.3,3634.7,3731.9
Vps33a,393.066666666667,367.766666666667,417.433333333333,472.433333333333,547.566666666667,405.266666666667,573.066666666667,391.5,775.033333333333,522.433333333333,597.466666666667,577.966666666667,644.3,583.4,666.133333333333,874.866666666667,564.933333333333,644.433333333333,625.966666666667,519.2,412.166666666667,536.366666666667,891.233333333333,578.466666666667
Vps33b,529.4,475.54,648.24,479.14,660.6,527.2,488.34,495.62,744.8,705.86,750.9,633.78,662.52,708.9,584.62,638.86,711.2,580,733.54,669.3,707.38,608.06,719.22,733.94
Vps39,363.9,447.4,399.4,328.3,566.5,371.4,376.9,320.6,778.4,317,415.4,316.8,372.6,401.5,532.5,273.1,669,403.8,168.4,517.2,488.2,418.1,170,454.5
Vps45,996.4,1451,1588.6,1120.4,1472.8,964.3,1076.2,1182.2,1069.2,1356.6,1620.9,1004.8,1674.5,1228.5,1525.8,1482.3,1867.2,1649.9,1363.8,1686.3,1292.1,1385.6,1834.9,1560
Vps4a,3651,4558.3,4048.6,3338.5,4545.8,3982.5,3335,3146.9,5375,3536.4,3476.2,3134.3,3718,4210.2,3028.8,2471.5,4948.8,4907.8,5277.5,4509.5,4765.5,4291.6,4682,3952.3
Vps52,894.5,1117.9,1532.6,747.5,1825.2,793,813.2,840.1,777.4,1118.2,746.2,942.2,931,935.6,708.7,1077,1535.2,1257.1,1393.4,1291.2,1459,1344.7,1081.2,1162.7
Vsir,386.8,375.2,275.1,301.1,199,243.7,449.6,400,178,242.2,51,55,197.3,181.8,49.7,273,41.3,47.5,70.5,38.4,35.9,26.7,448.3,35.4
Vsnl1,50.4,36.8,141.4,104.9,130.7,29.5,77.6,49.1,47.2,99.8,188,27.5,77.2,109.6,115.1,12.2,31.6,58.1,105.8,156.2,34.7,185.2,50.1,92.7
Vtcn1,42.7,77.8,78.1,27.7,227.9,70.3,62.4,43,118.5,50.1,115,118.3,78.6,81.2,58.3,41.7,45.6,134.1,97.5,81.9,81.3,86.4,200,20.3
Vtn,1322.1,1361.3,1459.6,1263.4,1524.1,1332,1679.9,1288.9,1623.2,1227.7,1240.9,964.1,1363.5,1161.7,977.8,1302.1,1568.5,1450.1,1309.9,1303.8,1286.4,901.7,1036.6,1162.2
Vwa8,1877.3,1537.7,1776.5,1615.7,2163.9,2570.9,2841.9,2225.8,1459.2,1531.5,1744.4,1510.9,1996.6,2399.8,1980.8,2008.4,1463.2,2099.5,1355,1614.5,2892.8,2129.4,2417.5,2324.7
Vwf,363.45,392.3,289.1,333.45,484.9,248.1,159.85,307.25,84.35,219.3,214.15,230.85,172.1,71.15,209.45,149.7,184.9,122.95,172.65,119.1,165.9,106.95,215.8,139.3
Wac,140.5,163.5,181.1,25.5,240.6,103.1,50.6,147,232.3,170.4,201.5,234,200.6,220.2,129.2,182.9,226.8,217.6,226.4,199,147.6,167,199.1,125.6
Wap,116.9,148.6,79.2,109.7,346.5,53.8,31.5,47.8,58.9,152.7,111.9,153.3,60.8,230.6,29.6,59.4,67.6,70.9,94.8,283,75.2,147.9,93,26
Wasl,579.05,563.2,571,659.95,698.3,589.9,303.7,622.3,330.05,394.05,357.55,354.45,364.85,303.15,498.8,457.9,373.7,322.35,445.45,438.35,330.45,519.55,448,516.8
Wbp11,768.9,889.1,814,772.1,787.7,849,681.4,771.7,837,674.1,942.4,695.9,799.2,755.9,933.1,743.8,800.1,591.4,671.8,666.5,898.9,872.2,738.2,659.2
Wbp4,749,998.3,642.1,808.1,667.1,559.1,723.1,670.2,568.4,1008,554.7,809,1061.4,447.4,683,826.6,541.4,741.6,822.8,550.6,473,714.6,1021.1,348.5
Wdfy1,347.2,393.4,436.8,330.5,507.9,284.2,277.1,362.3,367,249.6,349,376.4,508,340.1,416.9,381.4,281.2,441.6,392.7,295.9,360.9,309.8,395,426.7
Wdfy3,2002.3,1714.9,1995.5,1795.7,1626.9,2265.6,2047.4,2585.4,1923.9,1634.2,2024.2,1771.6,1848.5,1598.8,1944.4,1390.2,1807.8,1792.2,1679.5,1490.6,1795.7,1885.9,2093.6,1595.4
