Gene,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355
Atp6,13.7965142655311,13.8854706934786,14.0895378232025,13.8173077058154,13.9597163173328,13.6414213782823,13.8951550273485,13.6416783168229,14.3634167468763,13.9258755158528,15.0308772481288,14.2847277052168,13.7810009785071,14.4294624088467,15.6096047312161,14.1552385610544,14.0263236542522,14.6105036436267,13.7355046096107,14.1261447181806,14.2035139034256,13.6771427593442,13.7229956358592,14.2358528807865,13.6958614944681,13.6868457207106,14.615911188012,14.1683061218196,14.1883184032753,13.2251311735619,13.605026491022,14.3604076107521,13.051154444943,14.2429534399237,14.8154381102403,15.1658640565828,14.8073371535464,14.6633329950259,14.1717396008626,14.1351969016623
Aagab,4.55777384144354,3.93071300161707,4.99714013071844,4.56789195181103,4.77209480170547,4.20608201697608,4.94926919177821,4.29114295502072,4.79819973942089,4.92315112409513,4.59298376064281,4.64163108968638,4.42172766520463,5.46204761433873,5.46822227434208,4.75292234103823,5.28671909571867,4.86855869202779,4.68794250945375,4.8778964668528,4.11391356864737,4.47854721124878,4.44717052145834,4.27155945172652,4.92927191655124,5.00276640028231,4.44370557697201,4.78007992492565,4.82317745627736,5.465667242305,4.7394698088441,4.51204075388536,5.38449799297852,4.65534596921557,4.12372281139011,3.83778077450919,4.00012977006426,4.3968991409805,4.70776589384634,4.88708938289952
Abcb1a,3.94879824274876,4.22453036139971,2.01050157062469,3.81790085215343,3.16725182457976,4.35682272949492,4.26166910681678,4.7459666620542,3.03405549940295,4.34919776118092,4.73075163925097,4.26811628045036,4.88828280113434,2.62387313565548,4.48797012518791,3.36363181039212,4.24332821193477,3.47525921488367,4.59673297888608,3.34657807277526,3.32686764737738,4.42151136346278,2.53235160447978,2.68092858680918,3.31279668049143,3.38719728606057,3.84199817846303,3.4348514209822,3.72151533499761,3.58905425629798,3.49226970074902,4.34768626613775,3.68406087494614,4.11745151209137,4.03461724669363,4.00611089300304,4.04890180376434,4.24929789428936,4.21575399933942,3.82329387428441
Abcb6,6.04909621227933,5.87301515563467,6.01060226091626,5.88351419058817,5.73128892764392,5.80709667113543,5.28969925844793,6.08460064375574,6.7452481981176,5.64209880951055,6.65631713283181,6.49085181315599,6.22858976471844,6.29249647083265,5.87162445151035,5.93799327110374,5.78029558015815,6.57947277097581,6.13947363747365,6.07529400420548,6.03097954549505,5.99387955422769,6.5985684486023,5.97258955258196,6.2857368412274,6.46847317002671,6.0063524964623,6.35244576077563,6.09563449385885,6.74807999227069,6.57248875489481,6.0874146577482,6.46247487150617,6.13055508063977,5.59043358565131,5.65521433636921,5.71211982168992,5.70102765423131,5.97405905615199,5.11084053851524
Abcc1,4.65033380862487,4.90260206573662,5.34861299909033,4.8965445476217,5.43034222270705,5.23909106000985,5.0464832392504,5.20024222847085,3.726332285793,3.69033253071056,3.7438232410961,3.86204251564718,4.05594106198703,3.66272074004688,4.49941892307155,4.57923203237497,4.22245024808798,4.93407211317736,4.28621311453924,4.77714355925796,4.89121368199378,5.26080662758139,4.59508149728401,5.20375338018659,4.6201162633974,4.82690257316842,4.41562457779369,3.66452888314372,4.8907820772061,5.13760253998123,4.99971444758267,4.5007104950372,5.24275157896813,4.77184021494076,3.98883902760394,3.87642974728466,4.32792845806004,4.5451400482764,5.36599175525388,4.93911338986657
Abcc3,4.83301921123967,5.02421152947994,3.67513226285603,4.5544453430127,5.08967173270625,5.02127367758277,5.3436116099517,4.87527972635705,4.73239956604731,5.30129342691749,4.37827159540241,4.6091711016844,4.95651674621781,5.13469423807613,5.12808575127561,5.19976290886977,5.04616607427043,4.53658144967581,5.10412205055513,4.97238911900336,4.96702015959332,5.49515816590648,6.17845062974085,5.54311964506884,5.06061238416575,5.0023832693605,4.82208057334768,4.90226818701561,4.92957047607342,5.67157397273306,5.51781172669837,4.41572563685783,5.47838949230506,4.87003201388246,4.11245320528193,4.34966406213686,4.54204592109413,4.7375661409464,5.10218444883393,5.89109580735669
Abcc8,4.81578055039931,4.87598447364633,4.8105734263128,5.070722880016,3.40937976751776,5.04074213764375,5.08359849880067,4.77649195928184,4.64628700992556,4.49904641690352,4.06895639976588,3.92374170138153,4.5085856385735,4.16636108595686,3.97530826266923,4.30979568074653,4.80739674172792,4.46784200679672,4.18728365042054,4.78575635627759,5.03456089937236,4.6005121545988,3.08292838185023,4.14062727369656,4.79969628475511,5.13924000406111,4.28430675221449,4.17456794483166,4.57044008331388,6.05370152918299,4.82594395359831,4.46466742644489,5.79397745028898,4.58910383057681,3.34104952176838,3.21588080928534,3.41688003173713,3.75834194701172,4.44947557056061,4.52519298310272
Abcc9,7.7928962969905,8.08435775759632,7.94947263892275,7.95767736946345,8.00438130772474,7.56431725770421,7.45977193957853,8.17197828588944,6.99608631807345,7.97046524657335,7.24197570629455,7.63640295907898,7.93188542449262,7.41301594907944,7.70978295387971,8.00566371290029,7.71094378722295,7.69839182751176,7.60898555654871,7.47453924671603,7.71926168592495,7.97191534030347,7.70572789429714,7.88999773048696,7.48045757570615,7.61547648342835,7.90618636940979,7.48084698324012,8.01032066515837,7.54512193790067,7.66328493295525,7.91221746032405,7.34474526660766,7.93488524290117,7.87270923788379,8.00294000208747,7.986275924781,8.04665391894443,7.74574073888547,7.55985358335764
Abcd3,7.96942640051513,7.80300913240533,8.30984269676159,8.0480922211972,8.01177325146521,7.99125632570247,7.89782922401093,8.15737726846527,7.88976613080776,7.98786401518061,9.65460900562038,8.68881910168227,8.08341730899276,8.21914239670045,10.677375290406,8.69614713361555,7.12195514139278,7.34293632526645,7.30214565301212,7.27294081727914,7.23170336568489,7.1875888036937,7.28576669057747,7.43183450021663,7.4373882639905,7.42481043344683,8.10432784893727,7.55122469923649,8.19853508054023,7.06973874398388,7.41236566919746,8.2585263212051,7.33352672730862,8.06258371988774,8.6929400108301,8.91636181060282,8.87628717226511,8.86983006474957,7.88317280079293,8.25703777657626
Abhd13,5.78373252046485,5.14850882633705,5.78752664473968,5.5435775328609,5.69597659742147,5.12129232669405,5.16431577715947,5.17773716467779,5.23969147091536,5.56773359027891,5.59579378459109,5.4892593657784,5.72328334411235,5.44036146420757,5.58254144433059,5.58027720752374,5.74703762411022,5.06090716686931,5.41232744015922,5.43327738057872,5.9108730622368,5.76711522240632,5.67078045324999,5.63717082302023,5.3682491953399,5.42253462002104,5.75001552840757,5.46593918880015,5.58816501391346,4.87314561887644,5.56570947179664,5.55265658341111,4.93365882098157,5.55515726025912,5.77678102539182,5.81036383438633,5.76946570826478,5.78023057198947,5.41401486262895,5.50739447414315
