"","T1DM","HC"
"MEblack",2.94028846199649e-158,2.94028846199649e-158
"MEred",0,0
"MEgreen",0.00016662730225472,0.00016662730225472
"MEturquoise",0.026926188165676,0.026926188165676
"MEyellow",2.93809740732746e-131,2.93809740732746e-131
"MEblue",7.7913276541899e-85,7.7913276541899e-85
"MEbrown",3.96573960521416e-14,3.96573960521416e-14
"MEmagenta",1.29117214534689e-107,1.29117214534689e-107
"MEpink",9.443076112096e-285,9.443076112096e-285
"MEgrey",0.507022847669635,0.507022847669635
