"","T1DM","HC"
"MEblack",0.499550298080879,-0.499550298080879
"MEred",0.786902239454837,-0.786902239454837
"MEgreen",0.0751535846670349,-0.0751535846670349
"MEturquoise",0.0442079909806088,-0.0442079909806088
"MEyellow",0.459763106198331,-0.459763106198331
"MEblue",-0.375767923335175,0.375767923335175
"MEbrown",-0.15030716933407,0.15030716933407
"MEmagenta",-0.419975914315784,0.419975914315784
"MEpink",-0.636595070120767,0.636595070120767
"MEgrey",0.0132623972941826,-0.0132623972941826
