"";"x"
"298";"SKAP2"
"299";"SLC14A1"
"300";"SLC1A5"
"301";"SLC29A3"
"302";"SLC2A5"
"303";"SLC32A1"
"304";"SLC3A2"
"305";"SLC6A1"
"306";"SLC6A11"
"307";"SNX18"
"308";"SP110"
"309";"SPI1"
"310";"SRGAP3"
"311";"SSC5D"
"312";"STAT1"
"313";"STAT3"
"314";"STAT5A"
"315";"STAT6"
"316";"STBD1"
"317";"STK10"
"318";"STK40"
"319";"STOM"
"320";"STXBP2"
"321";"SUGP2"
"322";"SWAP70"
"323";"SYNGR2"
"324";"TACC3"
"325";"TAGLN"
"326";"TAGLN2"
"327";"TALDO1"
"328";"TAP1"
"329";"TAX1BP3"
"330";"TBXAS1"
"331";"TCIRG1"
"332";"TFEB"
"333";"TGFB1"
"334";"TIFAB"
"335";"TJP2"
"336";"TLN1"
"337";"TMBIM1"
"338";"TMEM132D"
"339";"TMEM176A"
"340";"TMEM176B"
"341";"TMEM179B"
"342";"TMEM86A"
"343";"TNFAIP2"
"344";"TNFAIP8L2"
"345";"TNFRSF1A"
"346";"TNIP2"
"347";"TP53"
"348";"TPM4"
"349";"TREM2"
"350";"TRIM47"
"351";"TRIM5"
"352";"TTC3"
"353";"TTLL12"
"354";"TYROBP"
"355";"UBE2L6"
"356";"UNC5C"
"357";"UNC93B1"
"358";"USP31"
"359";"VASP"
"360";"VAT1"
"361";"VAV1"
"362";"VEGFA"
"363";"VIM"
"364";"WAS"
"365";"WIPF1"
"366";"YBX3"
"367";"ZC3H12A"
"368";"ZFP217"
