"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HK2",-0.286710735341516,8.73466779087762,-10.3924156982075,3.35398518102789e-13,8.40173287847486e-10,19.9661225417782
"PNPLA3",-0.886249223459695,7.61183445031589,-8.58926724678472,8.29322960922531e-11,2.62234163480795e-08,12.4604429812179
"BDH1",-0.393092422295445,8.59792819590875,-7.40885279450132,3.7175544320037e-09,5.41680449017283e-07,10.8766496766693
"ENO3",-0.255753868275026,8.94703247628303,-6.89500625767819,2.0151185215725e-08,2.10327995689129e-06,9.05900863065304
"ACSL6",-0.272198951783848,8.45400236465406,-6.25379771893866,1.68738615786553e-07,1.32090697670411e-05,7.21514427952347
"CKB",-0.270849287608586,8.87591893709609,-5.88632437552647,5.7135222991122e-07,3.6698393228913e-05,5.80199889983911
"WFDC1",-0.312637463129153,8.59795864448595,-4.13968307881331,0.000163014171148268,0.00388905236882295,0.512068868330972
"BCAT2",-0.263357510190829,8.74108793984318,-4.16320517157453,0.000151563532063736,0.00375907572098672,0.460477780066947
"CYP4F5",-0.26806112379138,7.89300937889407,-3.35430353745521,0.00169112654381138,0.0210759800609328,-1.21104356576506
