"","GSM5283787","GSM5283788","GSM5283789","GSM5283790","GSM5283791","GSM5283792","GSM5283793","GSM5283794","GSM5283795","GSM5283796","GSM5283797","GSM5283798","GSM5283799","GSM5283800"
"ABHD12",8.31438454906664,8.02923997975375,8.63478628197047,8.71771290463017,8.63919791456629,8.79341262485239,8.06296665999734,7.89940628730759,8.47516530588966,8.11687492707287,8.7696302576933,8.9978774852287,8.7598236452037,9.06042213000048
"ABHD13",5.32151129388101,6.02691042936342,5.53466963048532,5.68632936895,5.89007210036402,5.70919308879787,4.455792570539,5.54502743682163,5.17019297369637,5.60375404963269,5.57584997065381,5.43732052041044,5.6867380998517,5.76015661856951
"ABHD14A",4.38471548434932,3.7182835070005,4.10416979038009,3.88468006084611,4.13147755103888,4.26862368072585,4.10858474969699,3.44131881543444,3.97480902234506,3.72156410533991,3.8049768522034,3.99552597169686,4.26810082996529,3.88104890728472
"ABHD14B",5.7725467595323,4.68790661738948,4.45638886829394,4.55380324708571,4.65924176760566,4.71974782698627,5.05188426445781,4.73489899759358,5.21797887313689,4.99329327715817,4.59623027209532,4.884382175019,4.98432630830886,4.69290399184572
"ABHD17A",7.08059702156198,6.17711259462983,7.30160789106772,7.14990451931719,7.04841107368455,7.26044735568737,6.89319675038217,6.71783993414248,6.79829260324676,6.637407140441,6.90173840004684,7.32881030136538,7.05849131891727,7.19383520299619
"ABHD17B",4.0359176183664,4.76022294974054,4.44093661566232,4.2194709339126,4.68458806410241,4.37626139507773,3.43039379207037,4.10501610933078,4.01962322730879,4.10642001395104,4.18993629133138,4.09937157522895,4.41961547770374,4.4135279262349
"ABHD17C",5.33760674741545,5.57800053437249,5.52248662580734,5.38957291030531,5.44088351733165,5.52824312560609,4.25476070125056,5.06023419982732,5.10929726727771,5.4130027708588,5.46128480073808,5.53642437210853,5.63605869810291,5.42000310526579
"ABHD2",6.17444031383776,5.13568279109368,5.22156868163622,5.74131510229146,5.96881610308639,5.46392069856162,4.99562761530866,5.76557639167633,5.0481229213464,5.37050309353854,5.6730577478992,5.0762669569999,5.77057366088464,5.89659327378753
"ABHD3",8.07273953765324,7.86152111654798,7.32424333959229,7.30330464292064,7.42816458714415,7.57822599973543,7.07589925575938,7.28246756477192,7.14019285748241,7.44988008757436,7.24968093817881,7.34007761027817,7.11448013391265,7.57307026919265
"ABHD4",7.63937821628845,6.80190224450177,6.70971213677486,6.69158178696105,6.81340581129791,6.95475430594854,7.81043110634061,7.41545933392083,7.60954369487704,7.08532010725397,7.32639642994147,7.48809852046342,7.25824696618738,7.61416513041009
"ABHD5",4.0693480549709,3.39395564357785,2.9856128813,3.28830649934981,3.43414750743356,3.44631490810884,3.71454656110524,3.55951093577263,3.23871493511388,3.49260435568996,3.19351511707027,3.18394213803465,3.11417611295698,3.40048972380874
"ABHD6",6.88638407031985,7.30041678342449,7.23298544798635,7.34130228414908,7.08965444366468,7.45553990037492,6.35778513363737,6.22127863801434,6.83567097032924,7.05179866587349,7.28232630596155,7.3574314785564,7.24477999648275,7.2105643123598
"ABHD8",8.29449686169703,7.43375397375098,8.27440519520242,8.160122861289,8.20301266177411,8.24789634255017,7.96345451476054,7.59335761934808,7.83000028091285,7.21786486402013,7.89380262059112,8.20596830590075,8.11414057249107,7.99217855018319
"ABI1",8.11370637779963,8.65864622413742,7.79037212155159,7.72521987626266,7.79816542871172,7.5125560028464,7.17674738193945,8.13557156305413,7.94191771332294,8.53405469383662,7.67656857231565,7.32503489171792,7.73838208567049,7.46412531517142
"ABI2",8.20364232871829,8.77317206297036,8.02565536917944,8.07973098994339,8.56729083650908,7.86925387689132,7.2111217665009,8.16898567369761,7.75173095552069,8.48488031846561,8.34211633757647,7.77865063078928,8.30709033322614,8.09085468897096
"ABI3",3.61323595393536,2.7203092781207,3.44402379398326,3.23456559443386,3.27161762333218,3.47186240474057,4.10327021765026,4.05928508080339,4.81093717345708,4.40627724730802,4.8783591387182,4.73305456400239,4.63451130828898,4.83394096209442
"ABL1",3.93071082693697,3.75272399611772,3.49479354863887,2.8331247607276,3.74071580337606,2.8084921223733,4.19605926223364,4.40671006327294,3.48585494925665,3.94453190911849,3.59421136544755,3.41933355178794,3.33360239395623,3.58667408789325
"ABL2",4.29335850999076,5.3902287958784,4.67467919408177,4.9063498865703,5.08886635710906,4.38076394345114,4.20601020607591,4.87347182647068,3.6017369278051,4.39525906784957,4.82698027988807,4.31773559311697,4.71158943346697,4.19182635922324
"ABLIM2",6.61833002331284,6.67745172301984,7.00329692156855,7.08001381487695,6.90019526589374,7.01609452357995,6.69459633867385,6.44062730172735,6.18965178134356,5.96337326907381,6.86498164138807,6.83006970204454,6.79841745471993,6.73213530747163
"ABLIM3",5.21102415850755,6.08775638055185,5.16626231879954,5.40911059080248,4.90392853400986,5.24432561616251,4.56420745338429,5.17578440054653,4.43066116201279,5.09893527206546,5.27623775939988,5.27198647756145,5.01373731769519,5.1539685591423
"ABO",2.52717176303167,2.01659529083409,2.11583165961623,2.59800189043021,2.44220143123602,2.75400202341785,2.63547942582366,2.67179384759388,2.42243595669532,2.34248779291867,2.50219562781658,2.80468907542262,2.66618017470434,2.30187610489419
"ABT1",4.04154343084933,4.21470740518831,4.22336656767913,4.26842803961085,4.24778669868126,3.94294657272886,3.69348111134548,4.21147804801225,4.13726414640299,3.90364732008671,4.3271140266336,4.32279275788776,4.5347544435038,4.16155557507781
"ABTB1",4.72603900453767,4.52144402908434,5.48781650294181,5.47779598912375,5.15771208440866,5.50780562758817,5.48884963968923,4.67826791593024,4.90151977077459,4.41721191589372,5.42983931409279,5.6085977581717,5.27230940460051,5.3612841925862
"ABTB2",3.60566044377087,3.3719683861206,3.13392374720085,3.53054373390765,3.3730980698864,3.80904210359147,3.67210351185564,2.91526426455609,3.32852541044588,2.90527925296987,3.14269852320779,3.67007474384336,3.21890277706732,3.6963161367259
"ACAA2",5.72788528452712,4.36326839154266,4.6524900571055,4.91662450085071,4.85692551995511,4.67645482081651,5.45169465292567,5.22744795768392,5.41348974950055,4.80353855222189,5.16286420465214,5.3947305813014,5.50097748649279,4.87494116595871
"ACACA",6.60509369655573,6.59759503117898,6.87693666582406,6.75594005717276,7.19860380803913,6.72440237573932,6.53105830115822,6.51642853816806,5.99517818072291,6.26317093649327,6.89503740707501,6.47440331357165,6.65221518986196,6.91185223762095
"ACACB",3.90007171414575,3.38666372721728,4.84871019579144,4.71161276383899,4.31888245981294,4.83579422487345,3.22062552515998,1.97515100017882,2.49476043724652,2.34248779291867,4.79442827968758,4.70233960897806,4.30749719810548,5.11763772123305
"ACAD11",4.6762789086852,4.15587358990168,4.46659918255089,4.42537399436086,4.18827459665773,4.23420399790841,4.54473562340213,4.188489486184,4.04393135818307,4.37296700476114,4.35528456155523,4.64292482190639,4.45122875262098,4.47225576101211
"ACAD9",5.70856575274391,5.72690331228314,6.01168599909079,5.86849209055611,6.01379308336049,5.92955927422844,5.70249299202382,5.7512670557143,5.99766932639982,5.74497790463067,5.79736218371329,5.92022861237604,5.99361471150834,5.8577866284571
"ACADL",6.17699841505942,5.65133279519724,5.43939054565369,5.33699096151734,5.2933466136375,5.6544642070728,5.86831906298911,5.71820813156875,6.12389918179835,6.07345424561414,5.96943652670298,5.8536527537092,5.62916491268879,5.93885235814164
"ACADM",6.12892329126647,5.8178141036591,5.30359589513323,5.29560141876303,5.11307115144861,5.38094891367455,6.1924503039981,5.68984095861929,5.88107770332474,6.25201718530299,5.30829426139032,5.40906738267742,5.29426529885112,5.53663256358427
"ACADS",4.82395679520351,3.57165930168417,4.85649600800821,4.73114894110556,4.44712949269996,4.89364890631766,4.74570658799152,3.80093204951514,4.71125145953642,3.856223239763,4.85881397618325,5.199605745962,4.87784748256793,5.13851009218344
"ACADSB",4.85304161119872,4.96503690415196,5.64217452307155,5.538932212428,5.27200618790802,5.48498484482936,5.39410397641444,4.54585740794158,4.02939568280408,4.59144142570494,5.20681654035327,5.12918586589199,4.78475756006049,4.96825103870538
"ACADVL",6.98091214856632,6.65258808334151,7.25155706300708,7.08609555562235,6.58057312408034,7.19100196897323,7.4039241238606,6.76586731255343,6.92868209665694,6.73822468151283,6.82525113461811,7.0548983648238,6.78297172437058,6.89585149192033
"ACAN",3.15458538566838,3.74133494207156,4.57438736563744,4.48182053596378,4.1155913488344,4.53415202718615,1.97464601934352,3.05738496748219,2.43719382194531,2.55542002958177,4.15189713965357,3.8419581034626,3.71191732065869,3.8686101099644
"ACAP2",6.19477923404749,6.5801205923296,6.52053168379951,6.22330124355488,6.34881911577545,6.19287082063142,6.0436362341608,6.58257913378754,5.83863271262553,6.51211108624422,6.34447857254023,5.86062417990166,6.01492717574229,6.1919446650963
"ACAP3",7.91120147131302,7.38243832106321,8.27767077488228,8.37188528392596,8.06885505906079,8.3760456067823,8.24651647435997,7.89615833637031,7.63976245504126,7.39838714015879,8.03590088012632,8.19394370978743,8.02142406417127,8.04460797959548
"ACAT1",7.39321265956591,7.13130091228569,6.95516093152271,7.05929657384397,6.83539548804978,6.98907174401911,7.12261490054807,7.31334479795596,6.92606882398496,7.06518499119823,7.03397314687126,7.08274063943765,7.05656567163892,6.83161557098681
"ACAT2",3.64314636653433,3.28050689687077,3.46454658511656,3.76088788009462,3.92214414346151,3.48864614810939,3.18081424646779,3.49851295722218,3.91280553242291,3.43638332501226,2.61833527002642,2.88893523796771,3.30793106087517,3.36550688591279
"ACBD3",5.95203560320061,6.40893132130153,5.71035328799576,5.4450455293159,5.68826993310452,5.59370359463281,6.16337961104379,6.2695415542741,6.50715902905046,6.78891803386404,5.5394820239003,5.63119561240319,5.72603761498794,5.58305231533804
"ACBD4",7.33082991630519,6.77422842490038,7.18432324718316,7.20263780420893,6.91556820529331,7.15136531281188,7.09877869381436,6.60951147883051,6.70228710734673,6.48638344413447,7.28012379915073,7.26192883080343,7.10705662074602,7.24284932320949
"ACBD5",5.03889527395922,5.54399028113762,4.11069497530886,4.18588484016517,4.44289182510328,4.1041048225548,4.43901503354137,4.41663575455997,4.54407809236686,5.00058190127709,4.27497796593589,4.00184589308328,3.87231297016201,4.2017771038066
"ACBD6",5.47283387728199,5.65285326391892,5.41850413817719,5.47779598912375,5.30039051208248,5.30953861220076,5.5892052865066,5.68984095861929,5.49156506673877,5.82379369779338,5.4271876546769,5.19409693299161,5.42539604968419,5.32986969615091
"ACCS",2.74969616065429,1.93895907036405,3.15932467966909,2.94443202044436,2.70538928648346,2.72596524472239,3.56018897744629,3.6852655485794,2.8875529036286,3.10783807140624,2.8418625695644,2.91595842221965,2.83145713206889,2.82400627964153
"ACD",6.80685857463571,6.54697879769153,7.23373292089753,7.25418670511618,6.6289378692762,7.24076765546054,7.51064777908846,6.90868177535846,7.16478555809681,6.5655096998303,6.93944395115563,7.23937359231305,6.82279173670861,6.81550462194999
"ACER2",5.36029315366561,4.74604677227576,4.5553790504475,4.69180840272777,3.90376138221674,4.50969329715552,7.70429847961927,7.0968840021841,5.56395119208097,5.56002359095725,4.45758028691178,4.74440615115136,4.02192000619593,4.58679406096553
"ACHE",6.2923829900857,6.67745172301984,7.01899184305457,7.06161323574989,6.89089225416459,7.22957870168735,5.32501567207231,5.87160830472235,6.16215551110675,6.4777045872871,6.60831551957372,6.8468425637927,6.60116705894186,6.73127679976006
"ACIN1",8.26233600118556,8.62824580128532,8.84089391550839,8.70961094796392,8.24042355001255,8.70056940225672,8.88781929407626,8.33650139452395,8.48983858368567,8.63117014354598,8.65191786090687,8.89297917827194,8.48848491386862,8.51240591323077
"ACLY",8.44614821911834,8.64610485219218,8.23126598725713,8.29946808768879,8.54175985402091,8.29725856209004,8.10045924211753,8.30723300759579,8.23897413962231,8.35750397698768,7.89332237420313,7.76338768070085,8.07186742711464,7.93702724709796
"ACO1",6.2757720439897,5.80829446207763,6.13524032740386,6.18980524340032,5.93300596855724,6.05740366468244,5.99424640017799,5.88596895082839,6.18090986062349,6.18961232490522,6.01606169396734,6.07809584625624,6.16068898041499,6.19069608475733
"ACO2",10.1339404711323,9.86684969066626,9.85254743296907,9.80213841377924,9.76100750895347,9.92862113916569,9.94752016236988,9.84189419697946,9.8547926049856,9.67820417489586,9.48066127462436,9.72566246927861,9.67637718216353,9.64868663008388
"ACOT11",3.47870810285212,2.77718328830126,2.33229251404991,2.61492669774955,2.84038736550288,2.76781870404421,2.480138604568,1.88269870511258,2.28234693076147,1.99865399256054,2.33119353695736,2.4453283830754,2.5098307853299,2.5243520449746
"ACOT13",5.03607994194976,4.90250229792906,4.18058917630112,4.08624496659875,4.01641534436654,3.9183808652618,4.72163030626179,4.25269530847855,4.84453801870375,5.02461475742573,3.72086651174513,4.05143266506074,4.12842141549453,3.57140477851298
"ACOT2",3.35765090084256,2.82112140510017,2.88262120434165,3.15579779230212,2.95194764716243,3.01953852052275,2.62067674521539,2.94300028396754,3.16083342411555,2.71752999005455,3.20594443251484,3.34173899543914,3.02244882317684,3.14601579534695
"ACOT4",2.58994683172739,2.85321852659426,2.6335402519133,2.45494182714755,2.84038736550288,2.35698145119531,1.634928489747,2.49570930143906,2.10885928108276,2.50163958471915,2.44042053455458,2.28873793203065,2.5098307853299,2.283252833874
"ACOT7",7.85918840195029,7.71710867743922,7.74075450649212,8.00185001624427,7.87723819873916,7.78386526032835,7.22035617865824,7.41587176223471,7.98492690719361,7.33348979861208,7.66760969644022,7.68012603769126,7.9226897106506,7.56971233870415
"ACOT8",4.52385079831727,3.93373061585105,4.68346016516423,4.38154079164367,4.23313723503052,4.76866717719788,4.46410873514729,4.34567762099377,4.83342446339422,4.04664684073951,4.39382145034204,4.39659701320505,4.40354521324309,4.27429728314593
"ACOT9",5.88164197402924,6.55838131413589,5.44972144055619,5.46851433187534,5.64834102547243,5.44038929186182,5.49291951870215,6.14272809876839,6.16437460102055,6.55647133453604,5.46128480073808,5.12918586589199,5.58887335981736,5.13332024115037
"ACOX1",6.50887460844632,5.9198462957498,6.36137755173077,6.38249578277935,6.36122272315755,6.3342194336168,6.68217424766647,6.72983164747227,6.20482382782891,6.14864581460472,6.32466826542514,6.16090873192873,6.3370931245246,6.46204056102685
"ACOX3",5.223451782298,5.08026008402758,5.20641726385442,5.17239295251219,5.41731814858061,5.19660127691919,5.32501567207231,5.28276215863824,5.12533352298646,5.13249745902823,5.19127254200173,5.13494769136385,5.18568985494739,5.48663593805203
"ACP1",3.20559008014929,2.63671989684305,3.08173951224771,3.17874510668228,3.01038999513812,2.94852407651666,3.25936764607595,3.23989606351437,3.12482236880746,3.22032517467201,3.02136123966024,2.92928253984697,2.87872390700474,2.78482447730142
"ACP2",6.18082708218418,5.61435237652215,6.80029433806818,6.87487998646094,6.63823394163266,7.03192540247936,6.35443382708133,6.15067931362816,6.57127953873106,5.9294056583057,6.86400159800084,6.88580679026249,6.7137892676242,6.87034333088014
"ACP5",1.96561671753095,1.67731572481302,1.10533077246773,1.50559734614244,1.78716932431769,1.80739153054894,2.51257371446108,2.35138570031509,2.76422666917891,2.01793777960871,2.26145387316833,2.66830964943794,2.67958815670372,2.99397651543895
"ACP6",4.53186707393677,3.86717595769872,5.24251684545012,5.13181159682577,4.67015903781702,5.14724404695326,5.20113635858381,4.78173114940869,4.74722637836704,4.17244567668459,5.20990534355504,5.21872260884917,4.89806169515852,4.90265841358625
"ACSBG1",8.76797332157206,7.83631679094341,8.15242311533266,8.05784969957926,8.06023564202277,8.22021367005443,9.01460593123527,8.49088683266438,8.49953850925696,8.15330078549523,8.01971067691006,8.17624076138714,7.98847223421975,8.22467324669892
"ACSF2",7.33999012495924,6.78119680496291,6.04783717061233,6.11741955724227,6.0943536431203,6.39668756817054,7.13568902256681,6.82171521204738,6.75698210093046,7.01388250422747,6.34307253651369,6.55074379036829,6.23635583762749,6.62343438882422
"ACSL1",6.76581405262676,6.74814874290626,6.88075939752564,6.77017502447345,6.81340581129791,6.86279792687173,6.57010619357053,6.36062142253639,6.29265071133775,6.52227503836156,6.6902201217436,6.75254944178939,6.63339084255718,6.75765581819675
