"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SYT2",-0.29871741319926,6.06226261861237,-4.3892431205642,0.000175467199641481,0.00624882564723223,0.832547498575018
"SLITRK6",-0.536046689048418,5.56528718687751,-4.61237947564749,9.79596422988002e-05,0.00416547792401913,0.823706162242774
"HMCN1",-0.316692385221672,6.09713481963265,-4.21531606463012,0.000276072134274356,0.0086749578369225,0.446623669263867
"ERBB4",-0.263333236421344,6.37296925776294,-3.94642837061752,0.000554272108909179,0.014183723697146,-0.212449045251454
"PIWIL2",-0.263880141982497,5.7702953487865,-3.70808122335372,0.00102229023360571,0.0220300092972215,-0.780209484966633
"HTR2C",-0.262092834293072,6.70758386011453,-3.77597017410924,0.000859298361459983,0.0194812283697572,-0.849757693849392
"CYP4F4",-0.316660978341489,6.24677204107602,-3.53264068515671,0.00159665909473594,0.0301250447741901,-1.12857930844298
"TRPC7",-0.55387638042157,5.54133384447635,-3.38471476932727,0.00231632241803816,0.0388951035500436,-1.54445001373108
"SLC17A8",-0.343655926718486,6.15222249510321,-3.25210887227641,0.00322194432870951,0.0483971145474169,-1.7218559075343
